,length,steps
181,1.2689655172413792,2066.0
182,1.2689655172413792,42272.0
183,1.2689655172413792,42530.0
184,1.2689655172413792,42404.0
185,1.2689655172413792,3033.0
186,1.2689655172413792,4499.0
187,1.2689655172413792,42054.0
188,1.2689655172413792,5468.0
189,1.2689655172413792,1931.0
190,1.3172413793103448,44708.0
191,1.3172413793103448,6008.0
192,1.3172413793103448,47426.0
193,1.3172413793103448,44866.0
194,1.3172413793103448,3973.0
195,1.3172413793103448,47694.0
196,1.3172413793103448,47256.0
197,1.3172413793103448,8200.0
198,1.3172413793103448,46694.0
199,1.3172413793103448,4318.0
200,1.3655172413793104,50518.0
201,1.3655172413793104,50814.0
202,1.3655172413793104,3527.0
203,1.3655172413793104,50308.0
204,1.3655172413793104,51374.0
205,1.3655172413793104,51490.0
